Unnamed: 0,Home_goals,Home_pim,Home_shots,Home_powerPlayPercentage,Home_powerPlayGoals,Home_powerPlayOpportunities,Home_faceOffWinPercentage,Home_blocked,Home_takeaways,Home_giveaways,Home_hits,Away_goals,Away_pim,Away_shots,Away_powerPlayPercentage,Away_powerPlayGoals,Away_powerPlayOpportunities,Away_blocked,Away_takeaways,Away_giveaways,Away_hits,Goals_Diff,Shots_Diff,Blocked_Diff,PIM_Diff,PowerPlayGoals_Diff,Takeaways_Diff,Giveaways_Diff,Hits_Diff,Winner_binary,Points_Diff
2019020641,1,0,6,0.5,1.0,2.0,0.526,3,2,1,11,0,4,9,0.0,0.0,0.0,3,2,4,14,1,-3,0,-4,1.0,0,-3,-3,1.0,12
2019020642,0,2,9,0.0,0.0,1.0,0.429,4,4,1,9,0,2,11,0.0,0.0,1.0,2,1,2,11,0,-2,2,0,0.0,3,-1,-2,1.0,7
2019020645,1,4,5,0.0,0.0,0.0,0.846,8,0,5,6,0,0,11,0.0,0.0,2.0,3,1,1,4,1,-6,5,4,0.0,-1,4,2,0.0,-4
2019020643,1,0,13,0.0,0.0,2.0,0.429,4,2,0,4,0,4,7,0.0,0.0,0.0,5,4,0,4,1,6,-1,-4,0.0,-2,0,0,0.0,-4
2019020644,0,2,9,0.0,0.0,0.0,0.294,4,3,3,16,3,0,11,1.0,1.0,1.0,5,2,0,8,-3,-2,-1,2,-1.0,1,3,8,0.0,-6
2019020650,3,2,11,0.5,1.0,2.0,0.429,3,2,6,8,0,4,11,0.0,0.0,1.0,4,0,6,8,3,0,-1,-2,1.0,2,0,0,0.0,1
2019020651,1,4,7,0.0,0.0,0.0,0.5,6,1,2,10,1,0,13,0.0,0.0,2.0,3,3,0,7,0,-6,3,4,0.0,-2,2,3,1.0,6
2019020652,0,7,11,0.0,0.0,2.0,0.304,7,1,1,7,2,9,20,0.0,0.0,1.0,4,4,1,7,-2,-9,3,-2,0.0,-3,0,0,1.0,-4
2019020760,1,0,11,0.5,1.0,2.0,0.412,2,1,2,4,1,4,6,0.0,0.0,0.0,8,0,3,5,0,5,-6,-4,1.0,1,-1,-1,1.0,-7
2019020761,1,2,14,0.0,0.0,2.0,0.588,1,2,4,7,1,4,8,0.0,0.0,1.0,5,5,2,11,0,6,-4,-2,0.0,-3,2,-4,0.0,11
